#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.1070        10.0442        10.1030       -162.953       -83.9194       -112.336       0.850252E+12    125.166        12.5166        210.240       0.773567E+12   0.398603E+11   0.368249E+11   0.123520E+11    0.00000        0.00000        0.00000               0           0     8402859
           2    10.1024        10.1004        10.0337       -37.6482        86.7961       -53.7495       0.455167E+12    59.9831        5.99831        114.000       0.397928E+12   0.214806E+11   0.357582E+11   0.113341E+11   -2.83252        34.5432       -42.5984               0           0     1519864
           3    10.1581        9.61666        9.77004       -172.040      -0.720027       -35.2299       0.506675E+11    49.5181        4.95181        75.0600       0.491872E+11   0.803952E+09   0.676341E+09   0.626896E+09    31.3912       -262.681       -204.599               0           1      511969
           4    9.64941        9.42585        10.2434       -143.143       -13.3740       -134.078       0.145976E+11    32.0757        3.20757        48.6000       0.135317E+11   0.932603E+09   0.133387E+09   0.522248E+08   -281.163       -379.920        86.2352               0           1       81358
           5    9.67513        10.1398        9.76960       -170.978       -160.173       -9.23113       0.695883E+10    25.1904        2.51904        38.1800       0.678539E+10   0.151913E+09   0.215192E+08   0.203386E+08   -265.360        58.7763       -204.869               0           1       74229
           6    10.1855        9.61418        9.80826       -210.106        82.5140       -40.0636       0.116400E+11    23.2887        2.32887        41.7900       0.114648E+11   0.130030E+09   0.451238E+08   0.829962E+08    48.2204       -264.205       -181.115               0           1       71786
           7    10.1741        10.0478        10.1217        29.1895        67.7909       -176.485       0.157405E+11    20.1207        2.01207        37.4300       0.137828E+11   0.188859E+10   0.690911E+08   0.459954E+08    41.2528        2.21809        11.4775               0           0       67365
           8    10.0110        9.95428        10.0157       -292.150        122.800       -1.28439       0.979428E+10    21.5130        2.15130        31.8200       0.890736E+10   0.855654E+09   0.312673E+08   0.721564E+07   -58.9914       -55.2372       -53.6643               0           0       62086
           9    10.1695        9.99085        10.1782       -168.137       -34.7498       -345.795       0.992399E+10    22.7505        2.27505        34.5500       0.952912E+10   0.384629E+09   0.102416E+08   0.126095E+08    38.3896       -32.7675        46.2051               0           0       61600
          10    10.2538        9.82525        10.0494       -291.076        9.46133       -90.8234       0.525780E+10    22.9754        2.29754        33.4000       0.494366E+10   0.283965E+09   0.301759E+08   0.101018E+08    90.1614       -134.517       -32.9273               0           1       61191
