#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.85628        9.93827        9.92199       -144.417       -47.5691       -78.0908       0.927126E+12    147.462        12.4696        215.372       0.843478E+12   0.406054E+11   0.430426E+11   0.119793E+11    0.00000        0.00000        0.00000               0           0    11060325
           2    9.82532        9.69997        9.74887       -203.967        73.4499       -7.73128       0.623951E+11    57.6675        5.88460        78.2048       0.590948E+11   0.227196E+10   0.102833E+10   0.698800E+09   -22.1179       -170.243       -123.671               0           1      620404
           3    9.80906        9.84260        9.88396       -180.108        14.0612       -224.316       0.385168E+10    16.4068       0.308878        29.7917       0.360897E+10   0.385716E+08   0.204143E+09   0.563535E+08   -33.7340       -68.3439       -27.1644               0           1       89152
           4    9.41016        9.87904        9.76116       -151.334       -116.088       -6.13165       0.783017E+10    29.3971        2.56971        38.3526       0.737402E+10   0.424784E+09   0.313628E+08   0.181044E+08   -318.705       -42.3154       -114.896               0           1       83533
           5    9.74445        10.0100        9.90730       -178.962        189.363       -69.4756       0.530686E+10    22.6697        1.12047        29.9136       0.514450E+10   0.125923E+09   0.364415E+08   0.115128E+08   -79.8900        51.2111       -10.4903               0           1       61642
           6    9.64298        10.0235        9.79148       -274.555        10.6299       -105.849       0.397329E+10    21.1713        4.61139        26.8771       0.394364E+10   0.120133E+08   0.176430E+08   0.122045E+08   -152.380        60.8698       -93.2329               0           1       56080
           7    9.83872        10.1175        10.0108       -44.9274       -31.4706       -77.3461       0.222905E+10    18.5891        1.42546        23.7697       0.219953E+10   0.112498E+08   0.182715E+08   0.571122E+07   -12.5435        128.059        63.4610               0           1       44058
           8    9.79514        9.70418        9.71450       -198.583        27.3265       -12.5203       0.976996E+10    22.2186       0.187782        40.3129       0.938674E+10   0.332550E+09   0.506697E+08   0.559041E+08   -43.6785       -167.232       -148.226               0           1       40043
           9    9.82251        9.87255        9.82979       -50.1396       -26.0339        129.241       0.920426E+10    21.3395        1.24929        27.9068       0.911711E+10   0.675950E+08   0.195484E+08   0.125520E+08   -24.1218       -46.9490       -65.8671               0           1       38373
          10    10.2912        9.72789        9.87619       -263.091       -20.3064       -102.262       0.443680E+10    25.1927        1.71817        31.9661       0.432581E+10   0.103492E+09   0.750126E+07   0.875900E+07    310.697       -150.294       -32.7203               0           1       37918
          11    9.82478        9.87149        9.97110       -39.2133       -109.583       -48.0512       0.313672E+10    15.4141       0.287396        26.5906       0.309538E+10   0.553956E+07   0.358002E+08   0.284217E+08   -22.5022       -47.7063        35.0835               0           1       35488
          12    9.67090        9.73025        9.92448       -53.0378       -130.155        1.66783       0.296463E+10    21.6540        1.08471        29.6421       0.291810E+10   0.415845E+08   0.494430E+07   0.601691E+07   -132.436       -148.611        1.78315               0           1       33789
          13    9.72981        9.98083        10.0059        27.2478       -72.9493       -41.7768       0.271862E+10    18.9012        1.27226        23.9308       0.260018E+10   0.116763E+09   0.167356E+07   0.112606E+07   -90.3517        30.4021        59.9461               0           1       24143
          14    9.72978        9.96028        9.84922       -201.910        74.8648       -151.548       0.115518E+10    12.6493        1.39102        14.8318       0.113493E+10   0.816941E+07   0.120789E+08   0.420003E+07   -90.3710        15.7240       -51.9820               0           1       22755
          15    9.72807        10.2006        9.64551       -140.602        56.0669       -109.116       0.157963E+10    17.6320       0.205172        27.8274       0.155443E+10    839993.       0.243559E+08   0.162718E+08   -91.5891        187.402       -197.516               0           1       21213
          16    10.1078        10.0390        10.1468       -211.782       -173.012       -144.092       0.167348E+10    18.4413        1.36538        24.0524       0.166418E+10   0.783554E+07   0.146281E+07   0.117151E+07    179.673        71.9566        160.595               0           1       21045
          17    9.82587        9.80231        9.77716       -22.9792       -183.060        5.20912       0.168331E+10    15.9847       0.926674        20.6812       0.168057E+10   0.219505E+07    544502.        958723.       -21.7235       -97.1321       -103.465               0           1       20478
          18    9.99214        10.0213        10.0226       -70.8506       -126.968       -72.6314       0.122560E+10    14.7119        1.12246        19.5232       0.122438E+10    808460.        414153.        718970.        97.0628        59.3439        71.8573               0           1       19980
          19    9.81788        10.1988        9.62162       -199.159        69.0286       -108.494       0.118006E+10    16.1625        1.11138        21.6185       0.117765E+10    515472.       0.189054E+07   0.245402E+07   -27.4294        186.111       -214.585               0           1       18460
          20    9.94640        9.91157        10.0041        7.95157       -59.5511       -205.142       0.159866E+10    15.3245       0.256057        22.8206       0.158953E+10   0.761616E+07   0.151992E+07   0.190770E+07    64.3833       -19.0745        58.6902               0           1       17569
          21    9.77217        9.88571        9.81972       -153.993       -149.796       -338.185       0.214615E+10    14.0727       0.783333        17.7367       0.213477E+10   0.891719E+07   0.245730E+07   0.145250E+07   -60.0890       -37.5482       -73.0568               0           1       16285
          22    9.86516        9.93914        9.75339       -265.625       -45.9319       -80.4923       0.788254E+09    12.7475       0.240988        20.8620       0.786155E+09   0.124265E+07    856101.       0.189305E+07    6.34460       0.624387       -120.447               0           1       15228
          23    9.89556        9.89348        10.0025       -203.889       -26.1220       -276.196       0.538650E+09    9.91338       0.824710E-01    15.2046       0.536824E+09    483080.       0.134325E+07   0.155191E+07    28.0652       -32.0009        57.5186               0           1       14652
          24    10.0290        10.1772        10.1098       -204.185       -185.568       -147.488       0.138783E+10    15.7575        2.94155        18.7721       0.125880E+10   0.127160E+09   0.186694E+07   0.143651E+07    123.359        170.715        134.189               0           1       14537
          25    10.1681        9.81217        9.98549       -296.013       -49.1240       -113.817       0.142609E+10    17.4362        2.04573        20.7153       0.142308E+10   0.262077E+07    393679.        912750.        222.782       -90.0860        45.3652               0           1       13922
          26    9.74592        9.73051        10.0531       -160.388       -121.827        16.4695       0.806628E+09    13.4744        2.46809        17.0750       0.803781E+09   0.214541E+07    702416.        883417.       -78.8413       -148.426        93.6630               0           1       13524
          27    9.94805        9.87176        9.67985       -75.4681       -91.5116       -212.381       0.426135E+09    10.8749        3.53359        13.9612       0.424088E+09    840177.       0.120736E+07    764387.        65.5592       -47.5134       -172.983               0           1       13082
          28    9.73048        9.96624        10.0585       -176.723        64.2262        76.5793       0.855191E+09    13.2993        1.15715        15.7072       0.851335E+09   0.379361E+07    62096.9        78224.0       -89.8717        19.9804        97.4900               0           1       12578
          29    9.75493        9.94183        10.0991       -5.54590       -22.0321       -116.626       0.712803E+09    12.0321       0.443418        16.3194       0.712079E+09    648973.        75690.6        256604.       -72.4038        2.54255        126.498               0           1       11600
          30    9.93418        9.94895        9.99359       -186.024       -113.787       -295.835       0.972406E+09    10.9767       0.119056        15.7663       0.955013E+09   0.168520E+08    541050.        350275.        55.6554        7.63195        51.1568               0           1       10990
          31    9.88833        10.0736        9.89694        34.7904        59.5888       -41.7176       0.885193E+09    11.7080       0.243477        15.7019       0.829471E+09   0.552393E+08    482065.        371996.        22.9008        96.7078       -17.8943               0           1        9563
          32    10.0735        9.79617        9.95494       -316.291       -18.9803       -116.031       0.806306E+09    14.0933        1.81429        17.0999       0.805110E+09    762575.        433883.        665549.        155.156       -101.513        23.5417               0           1        8946
          33    9.75993        9.99627        10.1046       -133.098        40.4495        39.6302       0.446288E+09    11.1860        1.86103        12.9853       0.446036E+09    109891.        141384.        222552.       -68.8297        41.4360        130.425               0           1        8750
          34    10.0838        10.0513        9.95997       -83.7323       -75.8507       -55.3729       0.443403E+09    11.4191       0.801103        16.4536       0.442461E+09    464280.        476934.        401805.        162.554        80.7445        27.1358               0           1        8713
          35    9.76245        9.95559        9.91012       -204.448       -96.1069        8.50027       0.663065E+09    8.47893       0.281861        14.0879       0.647649E+09   0.137139E+08   0.170156E+07   0.189362E+07   -67.0280        12.3706       -8.47637               0           1        8022
          36    9.79116        9.98074        10.1216       -176.849       -21.2896        59.7167       0.141516E+09    7.35124        2.59315        9.07038       0.141169E+09    63722.1        283817.        246491.       -46.5189        30.3413        142.609               0           1        7892
          37    9.77682        9.93226        10.0887       -86.9921       -124.274       -313.120       0.121221E+10    14.9922       0.999853        19.2908       0.120833E+10   0.371840E+07    164191.        137887.       -56.7620       -4.29284        119.079               0           1        7445
          38    9.91717        10.2363        9.84175       -109.942        18.6107       -37.9385       0.448532E+09    11.6733       0.921060E-01    19.2127       0.437556E+09    352149.       0.106235E+08   0.710549E+07    43.5020        212.913       -57.3228               0           1        6972
