 k nel j ID
 1  1  1 HI
 1  0  2 HII
 2  2  1 HeI
 2  1  2 HeII
 2  0  3 HeIII
 3  3  1 LiI
 3  2  2 LiII
 3  1  3 LiIII
 3  0  4 LiIV
 4  4  1 BeI
 4  3  2 BeII
 4  2  3 BeIII
 4  1  4 BeIV
 4  0  5 BeV
 5  5  1 BI
 5  4  2 BII
 5  3  3 BIII
 5  2  4 BIV
 5  1  5 BV
 5  0  6 BVI
 6  6  1 CI
 6  5  2 CII
 6  4  3 CIII
 6  3  4 CIV
 6  2  5 CV 
 6  1  6 CVI
 6  0  7 CVII
 7  7  1 NI
 7  6  2 NII
 7  5  3 NIII
 7  4  4 NIV
 7  3  5 NV
 7  2  6 NVI
 7  1  7 NVII
 7  0  8 NVIII
 8  8  1 OI
 8  7  2 OII
 8  6  3 OIII
 8  5  4 OIV
 8  4  5 OV
 8  3  6 OVI
 8  2  7 OVII
 8  1  8 OVIII
 8  0  9 OVIX
 9  9  1 FI
 9  8  2 FII
 9  7  3 FIII
 9  6  4 FIV
 9  5  5 FV
 9  4  6 FVI
 9  3  7 FVII
 9  2  8 FVIII
 9  1  9 FIX
 9  0 10 FX
10 10  1 NeI
10  9  2 NeII
10  8  3 NeIII
10  7  4 NeIV
10  6  5 NeV
10  5  6 NeVI
10  4  7 NeVII
10  3  8 NeVIII
10  2  9 NeIX
10  1 10 NeX
10  0 11 NeXI
11 11  1 NaI
11 10  2 NaII
11  9  3 NaIII
11  8  4 NaIV
11  7  5 NaV
11  6  6 NaVI
11  5  7 NaVII
11  4  8 NaVIII
11  3  9 NaIX
11  2 10 NaX
11  1 11 NaXI
11  0 12 NaXII
12 12  1 MgI
12 11  2 MgII
12 10  3 MgIII
12  9  4 MgIV
12  8  5 MgV
12  7  6 MgVI
12  6  7 MgVII
12  5  8 MgVIII
12  4  9 MgIX
12  3 10 MgX
12  2 11 MgXI
12  1 12 MgXII
12  0 13 MgXIII
13 13  1 AlI
13 12  2 AlII
13 11  3 AlIII
13 10  4 AlIV
13  9  5 AlV
13  8  6 AlVI
13  7  7 AlVII
13  6  8 AlVIII
13  5  9 AlIX
13  4 10 AlX
13  3 11 AlXI
13  2 12 AlXII
13  1 13 AlXIII
13  0 14 AlXIV
14 14  1 SiI
14 13  2 SiII
14 12  3 SiIII
14 11  4 SiIV
14 10  5 SiV
14  9  6 SiVI
14  8  7 SiVII
14  7  8 SiVIII
14  6  9 SiIX
14  5 10 SiX
14  4 11 SiXI
14  3 12 SiXII
14  2 13 SiXIII
14  1 14 SiXIV
14  0 15 SiXV
15 15  1 PI
15 14  2 PII
15 13  3 PIII
15 12  4 PIV
15 11  5 PV
15 10  6 PVI
15  9  7 PVII
15  8  8 PVIII
15  7  9 PIX
15  6 10 PX
15  5 11 PXI
15  4 12 PXII
15  3 13 PXIII
15  2 14 PXIV
15  1 15 PXV
15  0 16 PXVI
16 16  1 SI
16 15  2 SII
16 14  3 SIII
16 13  4 SIV
16 12  5 SV
16 11  6 SVI
16 10  7 SVII
16  9  8 SVIII
16  8  9 SIX
16  7 10 SX
16  6 11 SXI
16  5 12 SXII
16  4 13 SXIII
16  3 14 SXIV
16  2 15 SXV
16  1 16 SXVI
16  0 17 SXVII
17 17  1 ClI
17 16  2 ClII
17 15  3 ClIII
17 14  4 ClIV
17 13  5 ClV
17 12  6 ClVI
17 11  7 ClVII
17 10  8 ClVIII
17  9  9 ClIX
17  8 10 ClX
17  7 11 ClXI
17  6 12 ClXII
17  5 13 ClXIII
17  4 14 ClXIV
17  3 15 ClXV
17  2 16 ClXVI
17  1 17 ClXVII
17  0 18 ClXVIII
18 18  1 ArI
18 17  2 ArII
18 16  3 ArIII
18 15  4 ArIV
18 14  5 ArV
18 13  6 ArVI
18 12  7 ArVII
18 11  8 ArVIII
18 10  9 ArIX
18  9 10 ArX
18  8 11 ArXI
18  7 12 ArXII
18  6 13 ArXIII
18  5 14 ArXIV
18  4 15 ArXV
18  3 16 ArXVI
18  2 17 ArXVII
18  1 18 ArXVIII
18  0 19 ArXIX
19 19  1 KI
19 18  2 KII
19 17  3 KIII
19 16  4 KIV
19 15  5 KV
19 14  6 KVI
19 13  7 KVII
19 12  8 KVIII
19 11  9 KIX
19 10 10 KX
19  9 11 KXI
19  8 12 KXII
19  7 13 KXIII
19  6 14 KXIV
19  5 15 KXV
19  4 16 KXVI
19  3 17 KXVII
19  2 18 KXVIII
19  1 19 KXIX
19  0 20 KXX
20 20  1 CaI
20 19  2 CaII
20 18  3 CaIII
20 17  4 CaIV
20 16  5 CaV
20 15  6 CaVI
20 14  7 CaVII
20 13  8 CaVIII
20 12  9 CaIX
20 11 10 CaX
20 10 11 CaXI
20  9 12 CaXII
20  8 13 CaXIII
20  7 14 CaXIV
20  6 15 CaXV
20  5 16 CaXVI
20  4 17 CaXVII
20  3 18 CaXVIII
20  2 19 CaXIX
20  1 20 CaXX
20  0 21 CaXXI
21 21  1 ScI
21 20  2 ScII
21 19  3 ScIII
21 18  4 ScIV
21 17  5 ScV
21 16  6 ScVI
21 15  7 ScVII
21 14  8 ScVIII
21 13  9 ScIX
21 12 10 ScX
21 11 11 ScXI
21 10 12 ScXII
21  9 13 ScXIII
21  8 14 ScXIV
21  7 15 ScXV
21  6 16 ScXVI
21  5 17 ScXVII
21  4 18 ScXVIII
21  3 19 ScXIX
21  2 20 ScXX
21  1 21 ScXXI
21  0 22 ScXXII
22 22  1 TiI
22 21  2 TiII
22 20  3 TiIII
22 19  4 TiIV
22 18  5 TiV
22 17  6 TiVI
22 16  7 TiVII
22 15  8 TiVIII
22 14  9 TiVIX
22 13 10 TiX
22 12 11 TiXI
22 11 12 TiXII
22 10 13 TiXIII
22  9 14 TiXIV
22  8 15 TiXV
22  7 16 TiXVI
22  6 17 TiXVII
22  5 18 TiXVIII
22  4 19 TiXIX
22  3 20 TiXII
22  2 21 TiXII
22  1 22 TiXXII
22  0 23 TiXXIII
23 23  1 VI
23 22  2 VII
23 21  3 VIII
23 20  4 VIV
23 19  5 VV
23 18  6 VVI
23 17  7 VVII
23 16  8 VVIII
23 15  9 VIX
23 14 10 VX
23 13 11 VXI
23 12 12 VXII
23 11 13 VXIII
23 10 14 VXIX
23  9 15 VXV
23  8 16 VXVI
23  7 17 VXVII
23  6 18 VXVIII
23  5 19 VXIX
23  4 20 VXX
23  3 21 VXXI
23  2 22 VXXII
23  1 23 VXXIII
23  0 24 VXXIV
24 24  1 CrI
24 23  2 CrII
24 22  3 CrIII
24 21  4 CrIV
24 20  5 CrV
24 19  6 CrVI
24 18  7 CrVII
24 17  8 CrVIII
24 16  9 CrIX
24 15 10 CrX
24 14 11 CrXI
24 13 12 CrXII
24 12 13 CrXIII
24 11 14 CrXIV
24 10 15 CrXV
24  9 16 CrXVI
24  8 17 CrXVII
24  7 18 CrXVIII
24  6 19 CrXIX
24  5 20 CrXX
24  4 21 CrXXI
24  3 22 CrXXII
24  2 23 CrXXIII
24  1 24 CrXXIV
24  0 25 CrXXV
25 25  1 MnI
25 24  2 MnII
25 23  3 MnIII
25 22  4 MnVI
25 21  5 MnV
25 20  6 MnVI
25 19  7 MnVII
25 18  8 MnVIII
25 17  9 MnIX
25 16 10 MnX
25 15 11 MnXI
25 14 12 MnXII
25 13 13 MnXIII
25 12 14 MnXIV
25 11 15 MnXV
25 10 16 MnXVI
25  9 17 MnXVII
25  8 18 MnXVIII
25  7 19 MnXIX
25  6 20 MnXX
25  5 21 MnXXI
25  4 22 MnXXII
25  3 23 MnXXIII
25  2 24 MnXXIV
25  1 25 MnXXV
25  0 26 MnXXVI
26 26  1 FeI
26 25  2 FeII
26 24  3 FeIII
26 23  4 FeIV
26 22  5 FeV
26 21  6 FeVI
26 20  7 FeVII
26 19  8 FeVIII
26 18  9 FeIX
26 17 10 FeX
26 16 11 FeXI
26 15 12 FeXII
26 14 13 FeXIII
26 13 14 FeXIV
26 12 15 FeXV
26 11 16 FeXVI
26 10 17 FeXVII
26  9 18 FeXVIII
26  8 19 FeXIX
26  7 20 FeXX
26  6 21 FeXXI
26  5 22 FeXXII
26  4 23 FeXXIII
26  3 24 FeXXIV
26  2 25 FeXXV
26  1 26 FeXXVI
26  0 27 FeXXVII
27 27  1 CoI
27 26  2 CoII
27 25  3 CoIII
27 24  4 CoIV
27 23  5 CoV
27 22  6 CoVI
27 21  7 CoVII
27 20  8 CoVIII
27 19  9 CoIX
27 18 10 CoX
27 17 11 CoXI
27 16 12 CoXII
27 15 13 CoXIII
27 14 14 CoXIV
27 13 15 CoXV
27 12 16 CoXVI
27 11 17 CoXVII
27 10 18 CoXVIII
27  9 19 CoXIX
27  8 20 CoXX
27  7 21 CoXXI
27  6 22 CoXXII
27  5 23 CoXXIII
27  4 24 CoXXIV
27  3 25 CoXXV
27  2 26 CoXXVI
27  1 27 CoXXVII
27  0 28 CoXXVIII
28 28  1 NiI
28 27  2 NiII
