 A Ne Acoef    Bcoef    species  stg specion
 2  2 4.30E-13 0.672	helium     1 HeI
 6  6 4.70E-13 0.624	carbon     1 CI
 6  5 2.30E-12 0.645	carbon     2 CII
 6  4 4.90E-12 0.803	carbon     3 CIII
 6  3 9.16E-12 0.791	carbon     4 CIV
 6  2 1.70E-11 0.721	carbon     5 CV
 7  7 4.10E-13 0.608	nitrogen   1 NI
 7  6 2.20E-12 0.639	nitrogen   2 NII
 7  5 5.00E-12 0.676	nitrogen   3 NIII
 7  4 9.40E-12 0.765	nitrogen   4 NIV
 7  3 1.57E-11 0.780	nitrogen   5 NV
 7  2 2.90E-11 0.750	nitrogen   6 NVI
 8  8 3.10E-13 0.678	oxygen     1 OI
 8  7 2.00E-12 0.646	oxygen     2 OII
 8  6 5.10E-12 0.660	oxygen     3 OIII
 8  5 9.60E-12 0.670	oxygen     4 OIV
 8  4 1.59E-11 0.759	oxygen     5 OV
 8  3 2.44E-11 0.774	oxygen     6 OVI
 8  2 7.19E-11 0.834	oxygen     7 OVII
10 10 2.20E-13 0.759	neon       1 NeI
10  9 1.50E-12 0.693	neon       2 NeII
10  8 4.40E-12 0.675	neon       3 NeIII
10  7 9.10E-12 0.668	neon       4 NeIV
10  6 1.50E-11 0.684	neon       5 NeV
10  5 2.30E-11 0.704	neon       6 NeVI
10  4 2.80E-11 0.771	neon       7 NeVII
10  3 5.00E-11 0.832	neon       8 NeVIII
10  2 8.60E-11 0.769	neon       9 NeIX
12 12 1.40E-13 0.855	magnesium  1 MgI
12 11 8.80E-13 0.838	magnesium  2 MgII
12 10 3.50E-12 0.734	magnesium  3 MgIII
12  9 7.70E-12 0.718	magnesium  4 MgIV
12  8 1.40E-11 0.716	magnesium  5 MgV
12  7 2.30E-11 0.695	magnesium  6 MgVI
12  6 3.20E-11 0.691	magnesium  7 MgVII
12  5 4.60E-11 0.711	magnesium  8 MgVIII
12  4 6.83E-11 0.765	magnesium  9 MgIX
12  3 1.13E-10 0.829	magnesium 10 MgX
12  2 2.16E-10 0.821	magnesium 11 MgXI
13 13 6.75E-13 0.827	aluminum   1 AlI
13 12 1.33E-12 0.753	aluminum   2 AlII 
13 11 2.33E-12 0.824	aluminum   3 AlIII
13 10 7.02E-12 0.733	aluminum   4 AlIV 
13  9 1.36E-11 0.720	aluminum   5 AlV
13  8 2.10E-11 0.711	aluminum   6 AlVI
13  7 3.19E-11 0.691	aluminum   7 AlVII
13  6 4.39E-11 0.697	aluminum   8 AlVIII
13  5 5.90E-11 0.710	aluminum   9 AlIX
13  4 9.40E-11 0.778	aluminum  10 AlX
13  3 1.57E-10 0.843	aluminum  11 AlXI
13  2 2.69E-10 0.823	aluminum  12 AlXII 
14 14 5.90E-13 0.601	silicon    1 SiI
14 13 1.00E-12 0.786	silicon    2 SiII
14 12 3.70E-12 0.693	silicon    3 SiIII
14 11 5.50E-12 0.821	silicon    4 SiIV
14 10 1.20E-11 0.735	silicon    5 SiV
14  9 2.11E-11 0.716	silicon    6 SiVI
14  8 3.00E-11 0.702	silicon    7 SiVII
14  7 4.30E-11 0.688	silicon    8 SiVIII
14  6 5.80E-11 0.703	silicon    9 SiIX
14  5 7.70E-11 0.714	silicon   10 SiX
14  4 1.43E-10 0.823	silicon   11 SiXI
14  3 2.15E-10 0.858	silicon   12 SiXII
14  2 3.20E-10 0.818	silicon   13 SiXIII
16 16 4.10E-13 0.630	sulfer     1 SI
16 15 1.80E-12 0.686	sulfer     2 SII
16 14 2.70E-12 0.745	sulfer     3 SIII
16 13 5.70E-12 0.755	sulfer     4 SIV
16 12 1.20E-11 0.701	sulfer     5 SV
16 11 1.70E-11 0.849	sulfer     6 SVI
16 10 2.70E-11 0.733	sulfer     7 SVII
16  9 4.00E-11 0.696	sulfer     8 SVIII
16  8 5.50E-11 0.711	sulfer     9 SIX
16  7 7.40E-11 0.716	sulfer    10 SX
16  6 9.20E-11 0.714	sulfer    11 SXI
16  5 1.40E-10 0.755	sulfer    12 SXII
16  4 2.00E-10 0.806	sulfer    13 SXIII
16  3 2.91E-10 0.840	sulfer    14 SXIV
16  2 4.30E-10 0.807	sulfer    15 SXV
18 18 3.77E-13 0.651	argon      1 ArI
18 17 1.95E-12 0.752	argon      2 ArII
18 16 3.23E-12 0.869	argon      3 ArIII
18 15 6.03E-12 0.812	argon      4 ArIV
18 14 9.12E-12 0.811	argon      5 ArV
18 13 1.58E-11 0.793	argon      6 ArVI
18 12 2.69E-11 0.744	argon      7 ArVII
18 11 3.55E-11 0.910	argon      8 ArVIII
18 10 4.90E-11 0.801	argon      9 ArIX
18  9 6.92E-11 0.811	argon     10 ArX
18  8 9.55E-11 0.793	argon     11 ArXI
18  7 1.23E-10 0.702	argon     12 ArXII
18  6 1.58E-10 0.790	argon     13 ArXIII
18  5 2.14E-10 0.774	argon     14 ArXIV
18  4 3.07E-10 0.819	argon     15 ArXV
18  3 4.36E-10 0.854	argon     16 ArXVI
18  2 5.80E-10 0.803	argon     17 ArXVII
20 20 1.12E-13 0.900	calcium	   1 CaI
20 19 6.78E-13 0.800	calcium	   2 CaII
20 18 3.96E-12 0.700	calcium	   3 CaIII
20 17 7.08E-12 0.780	calcium	   4 CaIV
20 16 1.07E-11 0.840	calcium	   5 CaV
20 15 1.80E-11 0.820	calcium	   6 CaVI
20 14 2.40E-11 0.820	calcium	   7 CaVII
20 13 3.76E-11 0.810	calcium	   8 CaVIII
20 12 5.04E-11 0.780	calcium	   9 CaIX
20 11 6.46E-11 0.900	calcium	  10 CaX
20 10 8.51E-11 0.820	calcium	  11 CaXI
20  9 1.18E-10 0.810	calcium	  12 CaXII
20  8 1.58E-10 0.800	calcium	  13 CaXIII
20  7 2.04E-10 0.730	calcium	  14 CaXIV
20  6 2.60E-10 0.800	calcium	  15 CaXV
20  5 3.24E-10 0.780	calcium	  16 CaXVI
20  4 4.61E-10 0.833	calcium	  17 CaXVII
20  3 5.62E-10 0.839	calcium	  18 CaXVIII
20  2 8.44E-10 0.819	calcium	  19 CaXIX
26 26 1.42E-13 0.891	iron       1 FeI
26 25 1.02E-12 0.843	iron       2 FeII
26 24 3.32E-12 0.746	iron       3 FeIII
26 23 7.80E-12 0.682	iron       4 FeIV
26 22 1.51E-11 0.699	iron       5 FeV
26 21 2.62E-11 0.728	iron       6 FeVI
26 20 4.12E-11 0.759	iron       7 FeVII
26 19 6.05E-11 0.790	iron       8 FeVIII
26 18 8.13E-11 0.810	iron       9 FeIX
26 17 1.09E-10 0.829	iron      10 FeX
26 16 1.33E-10 0.828	iron      11 FeXI
26 15 1.64E-10 0.834	iron      12 FeXII
26 14 2.00E-10 0.836	iron      13 FeXIII
26 13 2.41E-10 0.840	iron      14 FeXIV
26 12 2.89E-10 0.846	iron      15 FeXV
26 11 3.42E-10 0.850	iron      16 FeXVI
26 10 3.87E-10 0.836	iron      17 FeXVII
26  9 4.52E-10 0.824	iron      18 FeXVIII
26  8 5.25E-10 0.816	iron      19 FeXIX
26  7 6.07E-10 0.811	iron      20 FeXX
26  6 6.98E-10 0.808	iron      21 FeXXI
26  5 7.72E-10 0.800	iron      22 FeXXII
26  4 1.15E-09 0.852	iron      23 FeXXIII
26  3 1.58E-09 0.875	iron      24 FeXXIV
26  2 1.40E-09 0.787	iron      25 FeXXV
28 28 3.60E-13 0.700	nickel     1 NiI
28 27 1.00E-12 0.700	nickel     2 NiII
28 26 1.40E-12 0.700	nickel     3 NiIII
28 25 1.60E-12 0.700	nickel     4 NiIV
28 24 3.58E-12 0.746	nickel     5 NiV
28 23 9.05E-12 0.682	nickel     6 NiVI
28 22 1.75E-11 0.699	nickel     7 NiVII
28 21 3.04E-11 0.728	nickel     8 NiVIII
28 20 8.91E-11 0.759	nickel     9 NiIX
28 19 1.19E-10 0.790	nickel    10 NiX
28 18 1.50E-10 0.810	nickel    11 NiXI
28 17 1.91E-10 0.829	nickel    12 NiXII
28 16 2.29E-10 0.828	nickel    13 NiXIII
28 15 2.63E-10 0.834	nickel    14 NiXIV
28 14 3.16E-10 0.836	nickel    15 NiXV
28 13 3.63E-10 0.840	nickel    16 NiXVI
28 12 4.03E-10 0.846	nickel    17 NiXVII
28 11 4.73E-10 0.850	nickel    18 NiXVIII
28 10 5.25E-10 0.836	nickel    19 NiXIX
28  9 5.75E-10 0.824	nickel    20 NiXX
28  8 6.38E-10 0.816	nickel    21 NiXXI
28  7 7.08E-10 0.811	nickel    22 NiXXII
28  6 7.94E-10 0.808	nickel    23 NiXXIII
28  5 8.71E-10 0.800	nickel    24 NiXXIV
28  4 1.36E-09 0.842	nickel    25 NiXXV
28  3 1.87E-09 0.868	nickel    26 NiXXVI
28  2 1.06E-09 0.732	nickel    27 NiXXVII
