 A Ne Acoef    Bcoef    T0coef   T1coef     species  stg specion
 2  2 1.90E-03 3.00E-01 4.70E+05 9.40E+04   helium     1 HeI
 6  6 2.54E-03 4.42E-02 1.57E+05 3.74E+05   carbon     1 CI
 6  5 6.15E-03 5.88E-02 1.41E+05 1.41E+05   carbon     2 CII
 6  4 1.62E-03 3.43E-01 8.19E+04 1.59E+05   carbon     3 CIII
 6  3 4.78E-02 3.62E-01 3.44E+06 5.87E+05   carbon     4 CIV
 6  2 3.22E-02 3.15E-01 4.06E+06 8.31E+05   carbon     5 CV
 7  7 2.98E-03 0.00E+00 2.20E+05 1.00E+05   nitrogen   1 NI
 7  6 7.41E-03 7.64E-02 2.01E+05 7.37E+04   nitrogen   2 NII
 7  5 1.13E-02 1.64E-01 1.72E+05 2.25E+05   nitrogen   3 NIII
 7  4 2.62E-03 2.43E-01 1.02E+05 1.25E+05   nitrogen   4 NIV
 7  3 7.50E-02 3.50E-01 4.75E+06 8.35E+05   nitrogen   5 NV
 7  2 4.61E-02 3.09E-01 5.44E+06 1.14E+06   nitrogen   6 NVI
 8  8 1.11E-03 9.25E-02 1.75E+05 1.45E+05   oxygen     1 OI
 8  7 5.07E-03 1.81E-01 1.98E+05 3.35E+05   oxygen     2 OII
 8  6 1.48E-02 3.05E-01 2.41E+05 2.83E+05   oxygen     3 OIII
 8  5 1.84E-02 1.00E-01 2.12E+05 2.83E+05   oxygen     4 OIV
 8  4 4.13E-03 1.62E-01 1.25E+05 2.27E+05   oxygen     5 OV
 8  3 1.06E-01 3.40E-01 6.25E+06 1.12E+06   oxygen     6 OVI
 8  2 4.72E-02 0.00E+00 6.00E+06 1.00E+05   oxygen     7 OVII
10 10 9.77E-04 7.30E-02 3.11E+05 2.06E+05   neon       1 NeI
10  9 2.65E-03 2.42E-01 2.84E+05 3.07E+05   neon       2 NeII
10  8 3.69E-03 1.01E+00 2.24E+05 2.94E+05   neon       3 NeIII
10  7 1.18E-02 3.91E-01 2.70E+05 5.50E+05   neon       4 NeIV
10  6 2.44E-02 2.52E+00 3.09E+05 9.91E+05   neon       5 NeV
10  5 3.02E-02 4.45E-01 2.83E+05 1.73E+06   neon       6 NeVI
10  4 6.10E-03 2.54E-01 1.68E+05 6.13E+05   neon       7 NeVII
10  3 2.52E-01 3.04E-01 1.40E+07 1.80E+06   neon       8 NeVIII
10  2 7.14E-02 2.96E-01 1.10E+07 2.24E+06   neon       9 NeIX
12 12 4.49E-04 2.10E-02 5.01E+04 2.81E+04   magnesium  1 MgI
12 11 1.95E-03 7.40E-02 6.06E+05 1.44E+06   magnesium  2 MgII
12 10 5.12E-03 3.23E-01 4.69E+05 7.55E+05   magnesium  3 MgIII
12  9 7.74E-03 6.36E-01 3.74E+05 7.88E+05   magnesium  4 MgIV
