aexpn	redshift  Mvir        Rvir       a11         a12           a13         a21         a22         a23         a31         a32           a33         vpec_x    vpec_y      vpec_z
                  (M_solar)   (kpc)                                                                                                                      (km/s)    (km/s)      (km/s)
0.200   4.000     5.0093E+09  10.95274  -0.5654396  0.0000E+00      0.8247897  0.2761163   0.9422992   0.1892932  -0.7771987    0.3347718   -0.5328133   14.88605 -19.38113   -6.04711
0.225   3.444     6.8634E+09  13.65062  -0.7623031  0.0000E+00      0.6472203  0.3249896   0.8647913   0.3827763  -0.5597104    0.5021313   -0.6592331   16.38202  17.46903   10.60968
0.250   3.000     7.7141E+09  15.75264  -0.6002989  0.0000E+00      0.7997758  0.0818819   0.9947452   0.0614592  -0.7955731    0.1023811   -0.5971444   22.97100  -2.77700    8.76580
0.275   2.636     7.7584E+09  17.31038  -0.9620361  0.0000E+00      0.2729223  0.1505205   0.8341655   0.5305765  -0.2276623    0.5515141   -0.8024973   26.32617  -5.25421    1.05485
0.300   2.333     7.9292E+09  18.99219  -0.5226296  0.0000E+00      0.8525598  0.2571731   0.9534193   0.1576503  -0.8128470    0.3016482   -0.4982851   15.53462 -13.22284    3.27103
0.350   1.857     1.0381E+10  24.06809   0.9057385  0.0000E+00      0.4238371  0.0164059   0.9992505  -0.0350593  -0.4235195    0.0387080    0.9050596   27.37284  -4.51082    4.35972
0.375   1.667     1.1186E+10  26.35416  -0.5421903  0.0000E+00      0.8402557  0.7066622   0.5410219   0.4559867  -0.4545967    0.8410085   -0.2933368   26.93619  -0.37839   -1.70242
0.400   1.500     1.4656E+10  30.63252  -0.9471103  0.0000E+00      0.3209082  0.0825030   0.9663869   0.2434948  -0.3101215    0.2570923   -0.9152749   35.29639   0.13264    0.50936
0.425   1.353     1.7519E+10  34.40903   0.7833751  0.0000E+00     -0.6215492 -0.0065115   0.9999451  -0.0082068   0.6215151    0.0104762    0.7833321   33.96728   2.93940   -5.30392
0.450   1.222     2.1667E+10  38.89348   0.2576244  0.0000E+00     -0.9662452 -0.2458171   0.9670978  -0.0655408   0.9344536    0.2544045    0.2491480   26.74414 -11.63306  -11.30491
0.475   1.105     2.2496E+10  41.37772   0.1061289  0.0000E+00     -0.9943524  0.0777376   0.9969393   0.0082970   0.9913090   -0.0781791    0.1058041   26.51894 -11.20394   -3.36063
0.500   1.000     2.2638E+10  43.37768  -0.1304864  0.0000E+00     -0.9914501  0.2629899   0.9641775  -0.0346125   0.9559339   -0.2652578   -0.1258121   16.89786 -10.31470    2.11996
