aexpn	redshift  Mvir        Rvir       a11         a12           a13         a21         a22         a23         a31         a32           a33         vpec_x    vpec_y      vpec_z
                  (M_solar)   (kpc)                                                                                                                      (km/s)    (km/s)      (km/s)
0.200   4.000     4.9673E+09  10.90755  -0.8197945  0.0000E+00      0.5726578  0.2869677   0.8653805   0.4108117  -0.4955669    0.5011154   -0.7094342    6.55781 -22.07978   -9.35712  
0.225   3.444     6.7889E+09  13.59700   0.7461720  0.0000E+00      0.6657532  0.2578065   0.9219787  -0.2889479  -0.6138103    0.3872404    0.6879547   15.74183  13.60349   15.00253     
0.250   3.000     7.6788E+09  15.71962   0.6992919  0.0000E+00      0.7148362  0.1673222   0.9722196  -0.1636837  -0.6949778    0.2340706    0.6798653   21.01735  -9.98688    1.94685
0.275   2.636     7.9923E+09  17.51622   0.9537816  0.0000E+00      0.3005008 -0.0024813   0.9999659   0.0078755  -0.3004906   -0.0082571    0.9537491   17.62418 -11.28101    3.71926
0.300   2.333     8.0325E+09  19.06954   0.9961112  0.0000E+00      0.0881048  0.0019574   0.9997532  -0.0022130  -0.0880830    0.0222162    0.9958653   16.94460  -2.36021    5.90494
0.350   1.857     1.0624E+10  24.27111   0.4870168  0.0000E+00     -0.8733926  0.2457042   0.9596135   0.1370084   0.8381193   -0.2813216    0.4673479   20.60828  -0.70902    4.01533  
0.375   1.667     1.1394E+10  26.51052   0.4348295  0.0000E+00     -0.9005128  0.6620862   0.6778150   0.3197007   0.6103811   -0.7352324    0.2947340   26.96368  -1.76182   -2.49623
0.400   1.500     1.5181E+10  31.01220  -0.0063548  0.0000E+00     -0.9999799  0.5854587   0.8106937  -0.0037206   0.8106774   -0.5854705   -0.0051518   30.12176   0.27439    2.75592
0.425   1.353     1.7945E+10  34.66685   0.2585825  0.0000E+00     -0.9659892  0.5548590   0.8185785   0.1485284   0.7907380   -0.5743946    0.2116701   26.85815   5.40567   -4.73519
0.450   1.222     2.1597E+10  38.84723  -0.1947915  0.0000E+00     -0.9808447  0.2707150   0.9611571  -0.0537628   0.9427459   -0.2760019   -0.1872252   28.24129  -3.92941   -3.13207
0.475   1.105     2.2940E+10  41.64848   0.1998737  0.0000E+00     -0.9798217  0.4882029   0.8670295   0.0995885   0.8495343   -0.4982569    0.1732964   25.63851 -15.27522   -5.69496
0.500   1.000     2.3129E+10  43.68296   0.2399981  0.0000E+00     -0.9707733  0.3637963   0.9271263   0.0899390   0.9000295   -0.3747490    0.2225085   16.24034 -12.24717    8.05186
0.525   0.905     2.5312E+10  47.01489   0.3165438  0.0000E+00     -0.9485779  0.3022709   0.9478702   0.1008688   0.8991287   -0.3186569    0.3000424   21.80345  -4.03319    4.97959
0.550   0.818     2.6007E+10  49.40806  -0.0275609  0.0000E+00     -0.9996201  0.1116843   0.9937389  -0.0030793   0.9933615   -0.1117268   -0.0273884   17.64247  -3.08604   11.90184
0.575   0.739     2.6798E+10  51.80590   0.0197401  0.0000E+00     -0.9998051  0.1341653   0.9909555   0.0026489   0.9907624   -0.1341915    0.0195616   10.38820 -13.19144    5.64534   
0.601   0.664     2.7439E+10  54.15598   0.1355362  0.0000E+00     -0.9907724  0.1904215   0.9813567   0.0260494   0.9723012   -0.1921950    0.1330094   12.93938  -7.10154   -0.51261
0.626   0.597     2.7946E+10  56.34240   0.2265747  0.0000E+00     -0.9739938  0.2948488   0.9530790   0.0685890   0.9282931   -0.3027214    0.2159436   18.84841  -6.07226    0.04721
0.650   0.538     2.8304E+10  58.38224   0.0445617  0.0000E+00     -0.9990066  0.2171652   0.9760868   0.0096869   0.9751171   -0.2173811    0.0434961   20.62477  -7.47350    1.92257
0.675   0.481     2.8687E+10  60.41946   0.4100091  0.0000E+00     -0.9120814  0.2598281   0.9585650   0.1168009   0.8742893   -0.2848738    0.3930204   17.36249 -11.19708    3.96019
0.700   0.429     2.8604E+10  62.09568   0.4092411  0.0000E+00     -0.9124262  0.1582117   0.9848521   0.0709611   0.8986049   -0.1733967    0.4030420   23.21610  -0.93131    3.21492
